Výrobný príkaz | Dátum a čas
VP333134       | 2021-04-26 11:23:05
VP336605       | 2021-04-26 11:23:06
VP331045       | 2021-04-26 11:23:06
VP337135VP338095       | 2021-04-26 11:23:08
VP333134       | 2021-04-26 11:23:09
VP336605       | 2021-04-26 11:23:10
VP331045       | 2021-04-26 11:23:18
VP333134       | 2021-04-26 11:23:21
VP336605       | 2021-04-26 11:23:22
VP333310       | 2021-04-26 11:23:23
VP335447       | 2021-04-26 11:23:24
VP336202       | 2021-04-26 11:23:25
VP336811       | 2021-04-26 11:23:27
VP5136519       | 2021-04-26 11:23:28
VP331045       | 2021-04-26 11:23:35
VP331045       | 2021-04-27 03:50:02
VP333134       | 2021-04-27 03:50:05
VP336605       | 2021-04-27 03:50:06
VP333310       | 2021-04-27 03:50:07
VP335447       | 2021-04-27 03:50:08
VP336202       | 2021-04-27 03:50:09
VP336811       | 2021-04-27 03:50:11
VP5136519       | 2021-04-27 03:50:12
VP331045       | 2021-04-27 07:42:46
VP336811       | 2021-04-27 07:42:49
VP333134       | 2021-04-27 07:42:50
VP336605       | 2021-04-27 07:42:51
VP333310       | 2021-04-27 07:42:52
VP335447       | 2021-04-27 07:42:53
VP336202       | 2021-04-27 07:42:54
VP336811       | 2021-04-27 07:42:56
VP5136519       | 2021-04-27 07:42:57
VP331045       | 2021-04-27 08:34:37
VP336811       | 2021-04-27 08:34:40
VP333134       | 2021-04-27 08:34:41
VP336605       | 2021-04-27 08:34:42
VP333310       | 2021-04-27 08:34:43
VP335447       | 2021-04-27 08:34:44
VP336202       | 2021-04-27 08:34:46
VP336811       | 2021-04-27 08:34:47
VP5136519       | 2021-04-27 08:34:48
VP331045       | 2021-04-27 09:04:38
VP336811       | 2021-04-27 09:04:41
VP333134       | 2021-04-27 09:04:42
VP336605       | 2021-04-27 09:04:43
VP333310       | 2021-04-27 09:04:44
VP335447       | 2021-04-27 09:04:45
VP336202       | 2021-04-27 09:04:46
VP336811       | 2021-04-27 09:04:48
VP5136519       | 2021-04-27 09:04:49
VP331045       | 2021-04-27 09:34:39
VP336811       | 2021-04-27 09:34:42
VP333134       | 2021-04-27 09:34:43
VP336605       | 2021-04-27 09:34:44
VP333310       | 2021-04-27 09:34:45
VP335447       | 2021-04-27 09:34:46
VP336202       | 2021-04-27 09:34:48
VP336811       | 2021-04-27 09:34:49
VP5136519       | 2021-04-27 09:34:50
VP331045       | 2021-04-27 10:06:50
VP336811       | 2021-04-27 10:06:53
VP333134       | 2021-04-27 10:06:54
VP336605       | 2021-04-27 10:06:55
VP333310       | 2021-04-27 10:06:56
VP335447       | 2021-04-27 10:06:57
VP336202       | 2021-04-27 10:06:58
VP336811       | 2021-04-27 10:07:00
VP5136519       | 2021-04-27 10:07:01
VP331045       | 2021-04-27 11:26:15
VP336811       | 2021-04-27 11:26:18
VP333134       | 2021-04-27 11:26:19
VP336605       | 2021-04-27 11:26:20
VP333310       | 2021-04-27 11:26:21
VP335447       | 2021-04-27 11:26:23
VP336202       | 2021-04-27 11:26:24
VP336811       | 2021-04-27 11:26:25
VP5136519       | 2021-04-27 11:26:26
VP331045       | 2021-04-28 04:22:55
VP336201       | 2021-04-28 04:22:56
VP336811       | 2021-04-28 04:22:57
VP333134       | 2021-04-28 04:22:58
VP336605       | 2021-04-28 04:22:59
VP333310       | 2021-04-28 04:23:00
VP335447       | 2021-04-28 04:23:02
VP336202       | 2021-04-28 04:23:03
VP336811       | 2021-04-28 04:23:04
VP336201       | 2021-04-28 04:23:05
VP339847       | 2021-04-28 04:23:06
VP5136519       | 2021-04-28 04:23:08
VP331045       | 2021-04-28 04:23:13
VP336201       | 2021-04-28 04:23:14
VP331045       | 2021-04-28 04:23:15
VP336201       | 2021-04-28 04:23:16
VP331045       | 2021-04-28 04:23:17
VP331045       | 2021-04-28 04:23:19
VP331045       | 2021-04-28 04:23:22
VP331045       | 2021-04-28 04:23:23
VP333134       | 2021-04-28 04:23:29
VP336605       | 2021-04-28 04:23:30
VP333310       | 2021-04-28 04:23:31
VP335447       | 2021-04-28 04:23:32
VP336202       | 2021-04-28 04:23:34
VP339847       | 2021-04-28 04:23:37
VP5136519       | 2021-04-28 04:23:38
VP331045       | 2021-04-28 04:23:48
VP333134       | 2021-04-28 04:23:56
VP336605       | 2021-04-28 04:23:57
VP333310       | 2021-04-28 04:23:58
VP335447       | 2021-04-28 04:23:59
VP336202       | 2021-04-28 04:24:01
VP339847       | 2021-04-28 04:24:04
VP5136519       | 2021-04-28 04:24:05
VP336201       | 2021-04-28 07:04:50
VP336201       | 2021-04-28 07:04:51
VP336201       | 2021-04-28 07:04:52
VP336201       | 2021-04-28 07:04:56
VP336201       | 2021-04-28 07:04:57
VP336201       | 2021-04-28 07:05:01
VP336201       | 2021-04-28 07:05:02
VP336201       | 2021-04-28 07:05:06
VP331045       | 2021-04-28 07:05:07
VP336201       | 2021-04-28 07:05:08
VP336201       | 2021-04-28 07:05:12
VP336201       | 2021-04-28 07:05:13
VP333134       | 2021-04-28 07:05:15
VP336605       | 2021-04-28 07:05:16
VP333310       | 2021-04-28 07:05:17
VP335447       | 2021-04-28 07:05:18
VP336202       | 2021-04-28 07:05:20
VP336201       | 2021-04-28 07:05:23
VP339847       | 2021-04-28 07:05:24
VP5136519       | 2021-04-28 07:05:25
VP336201       | 2021-04-28 07:13:57
VP336201       | 2021-04-28 07:13:58
VP336201       | 2021-04-28 07:13:59
VP336201       | 2021-04-28 07:14:03
VP336201       | 2021-04-28 07:14:04
VP336201       | 2021-04-28 07:14:07
VP336201       | 2021-04-28 07:14:09
VP336201       | 2021-04-28 07:14:12
VP331045       | 2021-04-28 07:14:13
VP336201       | 2021-04-28 07:14:14
VP336201       | 2021-04-28 07:14:18
VP336201       | 2021-04-28 07:14:19
VP333134       | 2021-04-28 07:14:22
VP336605       | 2021-04-28 07:14:23
VP333310       | 2021-04-28 07:14:24
VP335447       | 2021-04-28 07:14:25
VP336202       | 2021-04-28 07:14:26
VP336201       | 2021-04-28 07:14:29
VP339847       | 2021-04-28 07:14:30
VP5136519       | 2021-04-28 07:14:31
VP336201       | 2021-04-28 07:48:57
VP336201       | 2021-04-28 07:48:58
VP336201       | 2021-04-28 07:48:59
VP336201       | 2021-04-28 07:49:03
VP336201       | 2021-04-28 07:49:04
VP336201       | 2021-04-28 07:49:08
VP336201       | 2021-04-28 07:49:09
VP336201       | 2021-04-28 07:49:13
VP331045       | 2021-04-28 07:49:14
VP336201       | 2021-04-28 07:49:15
VP336201       | 2021-04-28 07:49:18
VP336201       | 2021-04-28 07:49:20
VP333134       | 2021-04-28 07:49:22
VP336605       | 2021-04-28 07:49:23
VP333310       | 2021-04-28 07:49:24
VP335447       | 2021-04-28 07:49:25
VP336202       | 2021-04-28 07:49:27
VP336201       | 2021-04-28 07:49:29
VP339847       | 2021-04-28 07:49:30
VP5136519       | 2021-04-28 07:49:32
VP336811       | 2021-04-28 11:49:46
VP336811       | 2021-04-28 11:49:47
VP336201       | 2021-04-28 11:49:48
VP336201       | 2021-04-28 11:49:49
VP336201       | 2021-04-28 11:49:50
VP336811       | 2021-04-28 11:49:51
VP336811       | 2021-04-28 11:49:52
VP336201       | 2021-04-28 11:49:53
VP336201       | 2021-04-28 11:49:54
VP336811       | 2021-04-28 11:49:56
VP336811       | 2021-04-28 11:49:57
VP336201       | 2021-04-28 11:49:58
VP336201       | 2021-04-28 11:49:59
VP336811       | 2021-04-28 11:50:00
VP336811       | 2021-04-28 11:50:01
VP336201       | 2021-04-28 11:50:02
VP331045       | 2021-04-28 11:50:03
VP336201       | 2021-04-28 11:50:04
VP336811       | 2021-04-28 11:50:05
VP336811       | 2021-04-28 11:50:07
VP336201       | 2021-04-28 11:50:08
VP336201       | 2021-04-28 11:50:09
VP336811       | 2021-04-28 11:50:10
VP333134       | 2021-04-28 11:50:11
VP336605       | 2021-04-28 11:50:12
VP333310       | 2021-04-28 11:50:13
VP335447       | 2021-04-28 11:50:14
VP336202       | 2021-04-28 11:50:16
VP336811       | 2021-04-28 11:50:17
VP336201       | 2021-04-28 11:50:18
VP339847       | 2021-04-28 11:50:19
VP5136519       | 2021-04-28 11:50:20
VP336811       | 2021-04-28 12:19:46
VP336811       | 2021-04-28 12:19:49
VP336201       | 2021-04-28 12:19:51
VP336201       | 2021-04-28 12:19:52
VP336201       | 2021-04-28 12:19:53
VP336811       | 2021-04-28 12:19:54
VP336811       | 2021-04-28 12:19:55
VP336201       | 2021-04-28 12:19:56
VP336201       | 2021-04-28 12:19:57
VP336811       | 2021-04-28 12:19:58
VP336811       | 2021-04-28 12:19:59
VP336201       | 2021-04-28 12:20:00
VP336201       | 2021-04-28 12:20:02
VP336811       | 2021-04-28 12:20:03
VP336811       | 2021-04-28 12:20:04
VP336201       | 2021-04-28 12:20:05
VP331045       | 2021-04-28 12:20:06
VP336201       | 2021-04-28 12:20:07
VP336811       | 2021-04-28 12:20:08
VP336811       | 2021-04-28 12:20:09
VP336201       | 2021-04-28 12:20:10
VP336201       | 2021-04-28 12:20:11
VP336811       | 2021-04-28 12:20:13
VP333134       | 2021-04-28 12:20:14
VP336605       | 2021-04-28 12:20:15
VP333310       | 2021-04-28 12:20:16
VP335447       | 2021-04-28 12:20:17
VP336202       | 2021-04-28 12:20:18
VP336811       | 2021-04-28 12:20:19
VP336201       | 2021-04-28 12:20:20
VP339847       | 2021-04-28 12:20:22
VP5136519       | 2021-04-28 12:20:23
VP336811       | 2021-04-28 12:49:47
VP336811       | 2021-04-28 12:49:48
VP336201       | 2021-04-28 12:49:49
VP336201       | 2021-04-28 12:49:51
VP336201       | 2021-04-28 12:49:52
VP336811       | 2021-04-28 12:49:53
VP336811       | 2021-04-28 12:49:54
VP336201       | 2021-04-28 12:49:55
VP336201       | 2021-04-28 12:49:57
VP336811       | 2021-04-28 12:49:58
VP336811       | 2021-04-28 12:49:59
VP336201       | 2021-04-28 12:50:00
VP336201       | 2021-04-28 12:50:01
VP336811       | 2021-04-28 12:50:02
VP336811       | 2021-04-28 12:50:03
VP336201       | 2021-04-28 12:50:04
VP331045       | 2021-04-28 12:50:05
